USDA Food Name,GI DB Food name,Similarity Score
"Milk, human","Doughnut, cake type (Loblaw's, Canada) Canada",0.7749788797385342
"Milk, NFS",Tesco own milk chocolate digestive bars,0.7829968144219485
"Milk, whole",Mushrooms Canned,0.7799628407372268
"Milk, low sodium, whole","Icecream, dairy, Tiramisu",0.7735063748714517
"Milk, calcium fortified, low fat (1%)","Smoothie, Tropical, Devondale brand (Murray Goulburn Co- Operative Company Limited, Australia)",0.7761079027674461
"Milk, calcium fortified, fat free (skim)",tangerine raw,0.7837830565402721
"~Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", NS as to percent fat)~",White sauce packet mix. made up with skimmed milk,0.7810713015520534
"Milk, reduced fat (2%)",European Sole,0.7746623153253062
"Milk, acidophilus, low fat (1%)",Chicken masala with rice (Sutherland),0.7789501067035614
"Milk, acidophilus, reduced fat (2%)",Garlic mushrooms (not coated),0.7788874125585609
"Milk, low fat (1%)",Old potatoes. roast in lard,0.7816741819828237
"Milk, fat free (skim)","Spelt, pearled (Farro, Barilla, Italy)",0.7723722017614133
"Milk, lactose free, low fat (1%)","Oat Bran cereal (Quaker Oats Co, Peterborough, ON, Canada)",0.7795902741726957
"Milk, lactose free, fat free (skim)",strawberry raw,0.7736080598772959
"Milk, lactose free, reduced fat (2%)",Hovis best of both,0.7751018275651926
"Milk, lactose free, whole",Thins & crispy cheese feast pizza (Tesco),0.7754004349893597
"Buttermilk, fat free (skim)",Sandwich Spread Heinz,0.7771618016495682
"Buttermilk, low fat (1%)",Flaxseeds,0.7772472285814318
"Buttermilk, reduced fat (2%)",optima fruit�n fibre (kellogs),0.7793393394637412
"Buttermilk, whole","Salad, italian",0.7837701684752856
"Kefir, NS as to fat content",Pineapple,0.781137928547086
"Goat's milk, whole","Cheese, 3%",0.7786899180985379
"Milk, dry, reconstituted, NS as to fat content",Mixed flora honey,0.7775971301869355
"Milk, dry, reconstituted, whole",Mixed nuts,0.7787880911975662
"Milk, dry, reconstituted, low fat (1%)",vegetable sauces. dark,0.7738063145095919
"Milk, dry, reconstituted, fat free (skim)","Lentils and vegetables puree, commercial, for ages 7 – 9 months, Heinz™ Mum’s Recipe (Heinz Wattie's Ltd, Australia)",0.7787094266301802
"~Milk, evaporated, NS as to fat content and dilution~",caramel snack a jacks,0.7878335079614245
"Milk, evaporated, NS as to fat content","Avocado, raw",0.7850327210797962
"~Milk, evaporated, NS as to fat content, undiluted~",Tart With Whipped Cream,0.7741540673038263
"~Milk, evaporated, whole, NS as to dilution~",Beans Runner Boiled Without Salt,0.7730606849358199
"Milk, evaporated, whole","Sucrose, portion adjusted based on kg body weight",0.7808760137780497
"~Milk, evaporated, whole, undiluted~",Popcorn. candied,0.7843012035565348
"~Milk, evaporated, whole, diluted~",Avocado. fresh. raw,0.7778132136902691
"Milk, evaporated, reduced fat (2%)","Whitebread, for toasting",0.7780626122985277
"Milk, evaporated, fat free (skim)","Muesli, fruit and nut",0.776419077424562
"Milk, condensed, sweetened",Cabbage. chinese. pak-choi. raw,0.7756872776601424
"~Milk, condensed, sweetened, undiluted~","Adlay, Chinese pearl barley (Coix lachryma-Jobi L.), boiled in water for 28 min",0.7736312716028713
"~Milk, condensed, sweetened, diluted~","Eggs, whole",0.7798394967867294
"~Milk, imitation, fluid, soy based~","sugar, sucrose",0.7800708343748273
Soy milk,Spaghetti. canned in tomato sauce,0.7792798203673088
"Soy milk, light",Marzipan. retail,0.7841793584119499
"Soy milk, nonfat",Dia Lemonade - Average,0.7752751151766749
"Soy milk, chocolate",Parmesan,0.7758703561816714
"Soy milk, light, chocolate",Cabbage. frozen. boiled in unsalted water,0.7760040139371862
"Soy milk, nonfat, chocolate",Nestle Fitnesse Apricot Bar (24g),0.7751626133865945
"~Milk, soy, dry, reconstituted, not baby's~","Flaxseed Tortilla chips, Spicy, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",0.7784973805826456
"Imitation milk, non-soy, sweetened","Pontiac potato, peeled, boiled 35 min",0.7795964883165861
"Almond milk, sweetened","Snickers® Marathon Energy bar, Chewy Chocolate Peanut flavor (M&M/Mars, USA)",0.7718863728362456
"Almond milk, sweetened, chocolate",Jevity™ (Abbott Australasia),0.7752172112928875
"Almond milk, unsweetened","Growing up beverage powder, product 1",0.7812293582951338
Rice milk,gingerbread (nuremburg),0.7787493828298895
Coconut milk,Flaxseeds,0.7775045271845061
"Yogurt, NFS",Splenda Low cal sweetner,0.7733622952556709
"Yogurt, NS as to type of milk or flavor",Kaya Butter Toast (Just Acia Private Limited),0.7681155336750517
"Yogurt, NS as to type of milk, plain","Pigeon Pea (Cajanus cajan Linn. Huth.), soaked, boiled 45 min",0.7805982913445323
"Yogurt, whole milk, plain","celery root, raw",0.7721771869368468
"Yogurt, low fat milk, plain",Chicken Breast With Vegetables In Creamy Sauce. Stewed,0.7733893185560246
"Yogurt, nonfat milk, plain",Dried Blueberries,0.781175632167229
"Yogurt, Greek, NS as to type of milk, plain",Knorr Dreamy Pepper sauce,0.778526068802303
"Yogurt, Greek, whole milk, plain","Véritable Petit Beurre (LU, France)",0.7711572869246301
"Yogurt, Greek, low fat milk, plain","Durum wheat, precooked, cooked 20 min (Ebly, Chateaudun, France)",0.7747000342767315
"Yogurt, Greek, nonfat milk, plain","Shearia (thinly threaded pasta-like durum wheat), shallow fried and boiled, sweetened with sugar",0.7807427204475044
"Yogurt, vanilla, NS as to type of milk",Flaxseeds,0.7764650374041981
"Yogurt, vanilla, whole milk",Tesco Cheese Topped Baguette,0.7792219144853283
"Yogurt, vanilla, low fat milk","Orange fruit spread, with thick cut orange (Rhapsodie de Fruit Orange Spread, Thick Cut St Dalfour, Italy)",0.7752463336593636
"Yogurt, vanilla, low fat milk, light",Chocolate. fancy and filled,0.775925317099398
"Yogurt, vanilla, nonfat milk",Artichoke. globe. boiled. weighed as served,0.780243080154647
"Yogurt, vanilla, nonfat milk, light","Probiotic drink, original",0.7818712198213527
"Yogurt, Greek, vanilla, whole milk",Egg & tomato sandwich (Tesco),0.7793594698121528
"Yogurt, Greek, vanilla, low fat",Fennel seed,0.7789400970342093
"Yogurt, Greek, vanilla, nonfat",Instant dessert powder. made up with milk,0.7741892174725437
"Yogurt, chocolate, NS as to type of milk","Chicken, meat and skin, roasted",0.7836864052507945
"Yogurt, chocolate, whole milk",Bean sprouts. mung. raw,0.7782893985460796
"Yogurt, chocolate, nonfat milk",Vegetable bake,0.7746496213330657
"Yogurt, Greek, chocolate, nonfat",plum juice unsweetend,0.7715514589321653
"Yogurt, NS as to type of milk, fruit",Blackberry fresh cooked,0.7752445728778802
"Yogurt, whole milk, fruit",Fennel seed,0.7796231185529008
"Yogurt, low fat milk, fruit",Dia Lemonade - Average,0.7800100837981283
"Yogurt, fruit, low fat milk, light",milkchocolate with nuts,0.7812470316240322
"Yogurt, nonfat milk, fruit","Chocolate, milk with nuts",0.7822453755485915
"Yogurt, fruit, nonfat milk, light","avocado, raw",0.784293824431381
"Yogurt, Greek, NS as to type of milk, fruit",Tangerines/ Mandarin,0.7795104368836907
"Yogurt, Greek, whole milk, fruit",Beer. danish household. low alcohol. average values,0.7773796606321612
"Yogurt, Greek, low fat milk, fruit",Cactus jam (Stenocereus thurberi),0.774408481473649
"Yogurt, Greek, nonfat milk, fruit",Bilberries (Blueberries),0.776141137105758
"Yogurt, NS as to type of milk, flavors other than fruit",Montana Bakery garlic doughballs (9g each),0.7818077719569339
"Yogurt, whole milk, flavors other than fruit",Margarine. 30 % fat. vegetable fat,0.7768883894117299
"Yogurt, low fat milk, flavors other than fruit",gingerbread (nuremburg),0.7746231647024528
"Yogurt, nonfat milk, flavors other than fruit","Linguine, thin, fresh, durum wheat with 39% w/w egg, boiled 3 min",0.7826156930146486
